S. No,TRUE,Predicted
1,Desert,Desert
2,Desert,Desert
3,Desert,Desert
4,Desert,Desert
5,Desert,Desert
6,Desert,Desert
7,Desert,Desert
8,Desert,Desert
9,Desert,Desert
10,Desert,Desert
11,Desert,Desert
12,Desert,Desert
13,Desert,Desert
14,Desert,Desert
15,Desert,Desert
16,Desert,Desert
17,Desert,Desert
18,Desert,Desert
19,Desert,Desert
20,Desert,Desert
21,Desert,Desert
22,Desert,Desert
23,Desert,Desert
24,Desert,Desert
25,Desert,Desert
26,Desert,Desert
27,Desert,Desert
28,Desert,Desert
29,Desert,Beach
30,Desert,Forest
31,Beach,Beach
32,Beach,Beach
33,Beach,Beach
34,Beach,Beach
35,Beach,Beach
36,Beach,Beach
37,Beach,Beach
38,Beach,Beach
39,Beach,Beach
40,Beach,Beach
41,Beach,Beach
42,Beach,Beach
43,Beach,Beach
44,Beach,Beach
45,Beach,Beach
46,Beach,Beach
47,Beach,Beach
48,Beach,Beach
49,Beach,Beach
50,Beach,Beach
51,Beach,Beach
52,Beach,Beach
53,Beach,Beach
54,Beach,Beach
55,Beach,Beach
56,Beach,Beach
57,Beach,Beach
58,Beach,Beach
59,Beach,Beach
60,Beach,Beach
61,Beach,Beach
62,Beach,Beach
63,Beach,Beach
64,Beach,Beach
65,Beach,Beach
66,Beach,Beach
67,Beach,Beach
68,Beach,Beach
69,Beach,Beach
70,Beach,Beach
71,Beach,Forest
72,Beach,Forest
73,Beach,Desert
74,Beach,Desert
75,Beach,Desert
76,Beach,Desert
77,Beach,Desert
78,Beach,Desert
79,Beach,Desert
80,Beach,Desert
81,Forest,Forest
82,Forest,Forest
83,Forest,Forest
84,Forest,Forest
85,Forest,Forest
86,Forest,Forest
87,Forest,Forest
88,Forest,Forest
89,Forest,Forest
90,Forest,Forest
91,Forest,Forest
92,Forest,Forest
93,Forest,Forest
94,Forest,Forest
95,Forest,Forest
96,Forest,Forest
97,Forest,Forest
98,Forest,Forest
99,Forest,Forest
100,Forest,Forest
101,Forest,Forest
102,Forest,Forest
103,Forest,Forest
104,Forest,Forest
105,Forest,Forest
106,Forest,Forest
107,Forest,Forest
108,Forest,Forest
109,Forest,Forest
110,Forest,Forest
111,Forest,Forest
112,Forest,Forest
113,Forest,Forest
114,Forest,Forest
115,Forest,Forest
116,Forest,Forest
117,Forest,Forest
118,Forest,Forest
119,Forest,Forest
120,Forest,Forest
121,Forest,Forest
122,Forest,Forest
123,Forest,Forest
124,Forest,Forest
125,Forest,Forest
126,Forest,Forest
127,Forest,Forest
128,Forest,Forest
129,Forest,Forest
130,Forest,Forest
